,Latitude and Longitude,Class of Land,vv,vh,vv_1,vv_2,vv_3,vv_4,vv_5,vv_6,vv_7,vv_8,vv_9,vv_10,vv_11,vv_12,vv_13,vv_14,vv_15,vv_16,vv_17,vv_18,vv_19,vv_20,vv_21,vv_22,vv_23,vv_24,vv_25,vv_26,vv_27,vh_1,vh_2,vh_3,vh_4,vh_5,vh_6,vh_7,vh_8,vh_9,vh_10,vh_11,vh_12,vh_13,vh_14,vh_15,vh_16,vh_17,vh_18,vh_19,vh_20,vh_21,vh_22,vh_23,vh_24,vh_25,vh_26,vh_27,rvi_1,rvi_2,rvi_3,rvi_4,rvi_5,rvi_6,rvi_7,rvi_8,rvi_9,rvi_10,rvi_11,rvi_12,rvi_13,rvi_14,rvi_15,rvi_16,rvi_17,rvi_18,rvi_19,rvi_20,rvi_21,rvi_22,rvi_23,rvi_24,rvi_25,rvi_26,rvi_27
0,"(10.323727047081501, 105.2516346045924)",1,"[0.16120508313179016, 0.204640194773674, 0.10786069929599762, 0.028466392308473587, 0.027197707444429398, 0.07421156764030457, 0.04307883605360985, 0.032928768545389175, 0.2371467649936676, 0.23446635901927948, 0.1236417144536972, 0.17632608115673065, 0.04588419571518898, 0.05637973174452782, 0.024250369518995285, 0.032773710787296295, 0.16362367570400238, 0.08986561745405197, 0.05015765503048897, 0.2222461700439453, 0.09868701547384262, 0.2029925137758255, 0.07574126124382019, 0.14912576973438263, 0.12395041435956955, 0.30333462357521057, 0.1983349472284317]","[0.08404920995235443, 0.04176129773259163, 0.02606147713959217, 0.0033106033224612474, 0.006251915358006954, 0.006684811320155859, 0.006128926761448383, 0.006217446643859148, 0.011730670928955078, 0.01837502047419548, 0.023416539654135704, 0.030291976407170296, 0.020972521975636482, 0.02129390835762024, 0.007987231016159058, 0.01868530921638012, 0.0377514585852623, 0.03200685605406761, 0.02928287722170353, 0.07037476450204849, 0.03788283094763756, 0.07390256226062775, 0.019111931324005127, 0.01725742593407631, 0.018095724284648895, 0.008176957257091999, 0.007534670643508434]",0.1612050831317901,0.204640194773674,0.1078606992959976,0.0284663923084735,0.0271977074444293,0.0742115676403045,0.0430788360536098,0.0329287685453891,0.2371467649936676,0.2344663590192794,0.1236417144536972,0.1763260811567306,0.0458841957151889,0.0563797317445278,0.0242503695189952,0.0327737107872962,0.1636236757040023,0.0898656174540519,0.0501576550304889,0.2222461700439453,0.0986870154738426,0.2029925137758255,0.0757412612438201,0.1491257697343826,0.1239504143595695,0.3033346235752105,0.1983349472284317,0.0840492099523544,0.0417612977325916,0.0260614771395921,0.0033106033224612,0.0062519153580069,0.0066848113201558,0.0061289267614483,0.0062174466438591,0.011730670928955,0.0183750204741954,0.0234165396541357,0.0302919764071702,0.0209725219756364,0.0212939083576202,0.007987231016159,0.0186853092163801,0.0377514585852623,0.0320068560540676,0.0292828772217035,0.0703747645020484,0.0378828309476375,0.0739025622606277,0.0191119313240051,0.0172574259340763,0.0180957242846488,0.0081769572570919,0.0075346706435084,1.111368454274875,0.6178235325452482,0.6985731457389699,0.3944246979631054,0.6741435641466003,0.31658572201102764,0.4661503045574103,0.5826733222997632,0.18404039641437536,0.27993413929428684,0.5840245591914618,0.5417431983061342,1.0395003368184417,0.9342570567958237,0.8595504126393143,1.159126466604287,0.6759398250554445,0.9020723078979888,1.1715993770041768,0.8383705210855907,0.9431921841660017,0.914085140202144,0.7201996474347943,0.3927789153991479,0.4760097020743962,0.10360993858311252,0.14369296272366916
1,"(10.322364360592521, 105.27843410554115)",1,"[0.09824228286743164, 0.06113070622086525, 0.025030672550201416, 0.08190107345581055, 0.08491776138544083, 0.013013994321227074, 0.037608228623867035, 0.05560610815882683, 0.18174314498901367, 0.2550041973590851, 0.13433170318603516, 0.526502788066864, 0.041764259338378906, 0.047339726239442825, 0.12654061615467072, 0.07528924196958542, 0.1128809005022049, 0.31582146883010864, 0.10683583468198776, 0.3158837556838989, 0.2240542769432068, 0.04776907339692116, 0.058940447866916656, 0.016519952565431595, 0.02228413335978985, 0.5175241827964783, 0.4046560227870941]","[0.021684356033802032, 0.017600685358047485, 0.005918404087424278, 0.008398406207561493, 0.01206874381750822, 0.0036194056738168, 0.005209663417190313, 0.004159469157457352, 0.03558652475476265, 0.03865755721926689, 0.032214272767305374, 0.020541036501526833, 0.018575645983219147, 0.03545532003045082, 0.04558299109339714, 0.03090761974453926, 0.03243599832057953, 0.049165286123752594, 0.0406123623251915, 0.09978286921977997, 0.042544808238744736, 0.006553775165230036, 0.009479442611336708, 0.003606171114370227, 0.006841355003416538, 0.017449932172894478, 0.022561203688383102]",0.0982422828674316,0.0611307062208652,0.0250306725502014,0.0819010734558105,0.0849177613854408,0.013013994321227,0.037608228623867,0.0556061081588268,0.1817431449890136,0.2550041973590851,0.1343317031860351,0.526502788066864,0.0417642593383789,0.0473397262394428,0.1265406161546707,0.0752892419695854,0.1128809005022049,0.3158214688301086,0.1068358346819877,0.3158837556838989,0.2240542769432068,0.0477690733969211,0.0589404478669166,0.0165199525654315,0.0222841333597898,0.5175241827964783,0.4046560227870941,0.021684356033802,0.0176006853580474,0.0059184040874242,0.0083984062075614,0.0120687438175082,0.0036194056738168,0.0052096634171903,0.0041594691574573,0.0355865247547626,0.0386575572192668,0.0322142727673053,0.0205410365015268,0.0185756459832191,0.0354553200304508,0.0455829910933971,0.0309076197445392,0.0324359983205795,0.0491652861237525,0.0406123623251915,0.0997828692197799,0.0425448082387447,0.00655377516523,0.0094794426113367,0.0036061711143702,0.0068413550034165,0.0174499321728944,0.0225612036883831,0.6546094193465627,0.7879476881041568,0.6879063525757386,0.3543021543558089,0.46575160788849884,0.7698941390285698,0.45611375750047356,0.26852360632721867,0.5989575715767046,0.4906784438208316,0.69485848936723,0.1473497840393435,1.024470299649368,1.2952325274501093,0.9082745065738704,0.9802220999902563,0.7869068241790655,0.5012146193179566,0.9378157400939383,0.8370702225224711,0.5851877130727029,0.4525339176379931,0.514370374087655,0.649337543707018,0.8218454751985048,0.12832755069838275,0.20558533304506899
2,"(10.321455902933202, 105.25254306225168)",1,"[0.21969293057918549, 0.1161704808473587, 0.15812893211841583, 0.03349735587835312, 0.07615696638822556, 0.11231830716133118, 0.08527138829231262, 0.02065887860953808, 0.5636206269264221, 0.2667906582355499, 0.19777733087539673, 0.11170997470617294, 0.03914520516991615, 0.04844055324792862, 0.027986230328679085, 0.042489781975746155, 0.17499174177646637, 0.0944235697388649, 0.05156369507312775, 0.11029025912284851, 0.08813987672328949, 0.022535139694809914, 0.021069517359137535, 0.07721836864948273, 0.028283314779400826, 0.4302639663219452, 0.10595379769802094]","[0.07655175030231476, 0.038844820111989975, 0.01754927821457386, 0.004486548248678446, 0.007463901769369841, 0.011102486401796341, 0.0072558242827653885, 0.0038024401292204857, 0.03212415426969528, 0.030043739825487137, 0.030818013474345207, 0.032825767993927, 0.023960651829838753, 0.029986662790179253, 0.012043768540024757, 0.01945406384766102, 0.04585234075784683, 0.03628325089812279, 0.037023257464170456, 0.05104437470436096, 0.034874241799116135, 0.0061507076025009155, 0.006358637008816004, 0.007777017541229725, 0.008904056623578072, 0.01319829560816288, 0.007044591475278139]",0.2196929305791854,0.1161704808473587,0.1581289321184158,0.0334973558783531,0.0761569663882255,0.1123183071613311,0.0852713882923126,0.020658878609538,0.5636206269264221,0.2667906582355499,0.1977773308753967,0.1117099747061729,0.0391452051699161,0.0484405532479286,0.027986230328679,0.0424897819757461,0.1749917417764663,0.0944235697388649,0.0515636950731277,0.1102902591228485,0.0881398767232894,0.0225351396948099,0.0210695173591375,0.0772183686494827,0.0282833147794008,0.4302639663219452,0.1059537976980209,0.0765517503023147,0.0388448201119899,0.0175492782145738,0.0044865482486784,0.0074639017693698,0.0111024864017963,0.0072558242827653,0.0038024401292204,0.0321241542696952,0.0300437398254871,0.0308180134743452,0.032825767993927,0.0239606518298387,0.0299866627901792,0.0120437685400247,0.019454063847661,0.0458523407578468,0.0362832508981227,0.0370232574641704,0.0510443747043609,0.0348742417991161,0.0061507076025009,0.006358637008816,0.0077770175412297,0.008904056623578,0.0131982956081628,0.0070445914752781,0.8901174508031365,0.8677190811485739,0.3790950132211204,0.4436885240163009,0.3407287000835147,0.34325985456494557,0.30112318568675106,0.5714206723759924,0.20979482133679597,0.38382031072549616,0.5015934030937877,0.7986527218355355,1.1961713691375369,1.2019668113495214,1.0062739434430181,1.0404359061151702,0.7392675258389318,0.9437544547109505,1.2754163835019952,1.0463694377748105,0.9598835447802824,0.7601751648376782,0.8127489944140648,0.34885130640840917,0.8352564463353284,0.117262818613004,0.24147139401063472
3,"(10.324181275911162, 105.25118037576274)",1,"[0.24752603471279144, 0.19171142578125, 0.17253629863262177, 0.053028251975774765, 0.06387361884117126, 0.04437274485826492, 0.05805477127432823, 0.06644057482481003, 0.13695628941059113, 0.14766526222229004, 0.19144362211227417, 0.1111883819103241, 0.0899961069226265, 0.09730317443609238, 0.06463747471570969, 0.03312258422374725, 0.09347417950630188, 0.08623500168323517, 0.06156333163380623, 0.11288700997829437, 0.05069749802350998, 0.1640978753566742, 0.22949327528476715, 0.07518656551837921, 0.08044165372848511, 0.4785784184932709, 0.3070269823074341]","[0.05276329442858696, 0.04652192071080208, 0.022569067776203156, 0.008349285461008549, 0.010745206847786903, 0.0053770034573972225, 0.008179059252142906, 0.01077002752572298, 0.006533307954668999, 0.004155971109867096, 0.03402116149663925, 0.03755492344498634, 0.023185361176729202, 0.026317741721868515, 0.02651265636086464, 0.02410650998353958, 0.025943100452423096, 0.040712978690862656, 0.020147724077105522, 0.04603997990489006, 0.022920748218894005, 0.04959004744887352, 0.04770001769065857, 0.006055296398699284, 0.008672804571688175, 0.017654845491051674, 0.010959428735077381]",0.2475260347127914,0.19171142578125,0.1725362986326217,0.0530282519757747,0.0638736188411712,0.0443727448582649,0.0580547712743282,0.06644057482481,0.1369562894105911,0.14766526222229,0.1914436221122741,0.1111883819103241,0.0899961069226265,0.0973031744360923,0.0646374747157096,0.0331225842237472,0.0934741795063018,0.0862350016832351,0.0615633316338062,0.1128870099782943,0.0506974980235099,0.1640978753566742,0.2294932752847671,0.0751865655183792,0.0804416537284851,0.4785784184932709,0.3070269823074341,0.0527632944285869,0.046521920710802,0.0225690677762031,0.0083492854610085,0.0107452068477869,0.0053770034573972,0.0081790592521429,0.0107700275257229,0.0065333079546689,0.004155971109867,0.0340211614966392,0.0375549234449863,0.0231853611767292,0.0263177417218685,0.0265126563608646,0.0241065099835395,0.025943100452423,0.0407129786908626,0.0201477240771055,0.04603997990489,0.022920748218894,0.0495900474488735,0.0477000176906585,0.0060552963986992,0.0086728045716881,0.0176548454910516,0.0109594287350773,0.6381055004364595,0.7007091676868381,0.4351209842882134,0.5057649941532881,0.532921102385125,0.40829317691097555,0.46244756407636234,0.5175807127635111,0.1779317647006774,0.10798735628045451,0.5561750513237484,0.8731732757341775,0.7306724524385829,0.7554994970992938,0.9797594889901984,1.2818320601884243,0.7688240093218036,1.0572944762258307,0.8561025895796631,0.9766087589542893,1.0334842067879237,0.8134596734687076,0.626310131089849,0.28681094391649625,0.3698603613008161,0.1397563848867541,0.13546382636676613
4,"(10.324635504740822, 105.27389181724476)",1,"[0.02874036878347397, 0.034981049597263336, 0.028032459318637848, 0.08674809336662292, 0.08236747980117798, 0.04886489361524582, 0.03526059165596962, 0.030988527461886406, 0.4822195768356323, 0.5435928702354431, 0.10168255865573883, 0.21141082048416138, 0.03075050376355648, 0.056283097714185715, 0.035132214426994324, 0.047774605453014374, 0.12764278054237366, 0.06800412386655807, 0.09082815051078796, 0.19668367505073547, 0.25811639428138733, 0.0706210806965828, 0.11065947264432907, 0.10559548437595367, 0.13878685235977173, 0.3532930016517639, 0.36264321208000183]","[0.008084205910563469, 0.008058927021920681, 0.006776400841772556, 0.008571312762796879, 0.010516670532524586, 0.006412199232727289, 0.00580546073615551, 0.004665432497859001, 0.011391660198569298, 0.019559117034077644, 0.024319615215063095, 0.023801738396286964, 0.015353997237980366, 0.030443064868450165, 0.01577138341963291, 0.029259242117404938, 0.03977246955037117, 0.025254733860492706, 0.03390734642744064, 0.0874151661992073, 0.09067080914974213, 0.02846977487206459, 0.03145665302872658, 0.010184240527451038, 0.014683112502098083, 0.012045364826917648, 0.015505297109484673]",0.0287403687834739,0.0349810495972633,0.0280324593186378,0.0867480933666229,0.0823674798011779,0.0488648936152458,0.0352605916559696,0.0309885274618864,0.4822195768356323,0.5435928702354431,0.1016825586557388,0.2114108204841613,0.0307505037635564,0.0562830977141857,0.0351322144269943,0.0477746054530143,0.1276427805423736,0.068004123866558,0.0908281505107879,0.1966836750507354,0.2581163942813873,0.0706210806965828,0.110659472644329,0.1055954843759536,0.1387868523597717,0.3532930016517639,0.3626432120800018,0.0080842059105634,0.0080589270219206,0.0067764008417725,0.0085713127627968,0.0105166705325245,0.0064121992327272,0.0058054607361555,0.004665432497859,0.0113916601985692,0.0195591170340776,0.024319615215063,0.0238017383962869,0.0153539972379803,0.0304430648684501,0.0157713834196329,0.0292592421174049,0.0397724695503711,0.0252547338604927,0.0339073464274406,0.0874151661992073,0.0906708091497421,0.0284697748720645,0.0314566530287265,0.010184240527451,0.014683112502098,0.0120453648269176,0.0155052971094846,0.77577703082174,0.6752204582672883,0.6988033462712923,0.34313523113327876,0.4264849692733859,0.436262301680376,0.5239828175055804,0.4879672920528277,0.09124138631995647,0.13649215199961762,0.6935421599354122,0.3837439263510784,1.0879090211879658,1.1311290727405385,1.0295793536048414,1.1964628923478213,0.8297517050403965,0.92498624536615,0.9278524906327787,1.0240631592409097,0.8945290796562507,0.9701990310083328,0.7812711050390728,0.33601799991473974,0.36392944093118706,0.12968941852922503,0.16061506262530484
5,"(10.323727047081501, 105.28070524968936)",1,"[0.18852321803569794, 0.10361810028553009, 0.10618019104003906, 0.09795474261045456, 0.09347997605800629, 0.011575831100344658, 0.046767596155405045, 0.048746537417173386, 0.3812759518623352, 0.33484163880348206, 0.13361282646656036, 0.1343996822834015, 0.05001454055309296, 0.0388655811548233, 0.11889732629060745, 0.06686173379421234, 0.1289483904838562, 0.27650439739227295, 0.05933146923780441, 0.2086259424686432, 0.14892339706420898, 0.07812219113111496, 0.12541674077510834, 0.02433619275689125, 0.013015208765864372, 0.36222073435783386, 0.22211962938308716]","[0.026750687509775162, 0.0190714243799448, 0.007513823453336954, 0.007444820366799831, 0.009925601072609425, 0.0047055575996637344, 0.004581952001899481, 0.005836123134940863, 0.01870478130877018, 0.013645594008266926, 0.025301778689026833, 0.033952496945858, 0.018366599455475807, 0.022035690024495125, 0.0471978522837162, 0.03893374651670456, 0.04810718819499016, 0.05071304738521576, 0.025046247988939285, 0.07397700846195221, 0.05557085946202278, 0.012147461995482445, 0.02134283073246479, 0.005020830314606428, 0.003128255484625697, 0.023328330367803574, 0.014233277179300785]",0.1885232180356979,0.10361810028553,0.106180191040039,0.0979547426104545,0.0934799760580062,0.0115758311003446,0.046767596155405,0.0487465374171733,0.3812759518623352,0.334841638803482,0.1336128264665603,0.1343996822834015,0.0500145405530929,0.0388655811548233,0.1188973262906074,0.0668617337942123,0.1289483904838562,0.2765043973922729,0.0593314692378044,0.2086259424686432,0.1489233970642089,0.0781221911311149,0.1254167407751083,0.0243361927568912,0.0130152087658643,0.3622207343578338,0.2221196293830871,0.0267506875097751,0.0190714243799448,0.0075138234533369,0.0074448203667998,0.0099256010726094,0.0047055575996637,0.0045819520018994,0.0058361231349408,0.0187047813087701,0.0136455940082669,0.0253017786890268,0.033952496945858,0.0183665994554758,0.0220356900244951,0.0471978522837162,0.0389337465167045,0.0481071881949901,0.0507130473852157,0.0250462479889392,0.0739770084619522,0.0555708594620227,0.0121474619954824,0.0213428307324647,0.0050208303146064,0.0031282554846256,0.0233283303678035,0.0142332771793007,0.46514705620214186,0.5714124631702859,0.2554678933912963,0.2723759345048883,0.36505656201798914,0.9747876288881778,0.34062624816873627,0.40417949082624527,0.18263067532242758,0.15352950815958458,0.5839684711373185,0.7207799834278673,0.9188241104163714,1.1561912874576248,0.9616847593394431,1.1702383693664118,0.9274991178373309,0.5698703317591614,0.9956428094016971,0.8996547421687383,0.9276131569538758,0.500748996589822,0.537749622287845,0.6228648634365879,0.6959734474565609,0.23459071600299033,0.23351616364331332
6,"(10.325089733570481, 105.23937042619212)",1,"[0.20902691781520844, 0.07926031947135925, 0.1918393075466156, 0.1333705633878708, 0.06417103856801987, 0.02574589103460312, 0.06855586916208267, 0.058198194950819016, 0.17269429564476013, 0.11741945147514343, 0.27885720133781433, 0.1602146327495575, 0.06881864368915558, 0.09904803335666656, 0.08695106208324432, 0.10223377496004105, 0.06673513352870941, 0.06942550092935562, 0.030409665778279305, 0.07625150680541992, 0.057563938200473785, 0.18971648812294006, 0.15572287142276764, 0.11191559582948685, 0.08858621120452881, 0.3381691575050354, 0.13096871972084045]","[0.05572272837162018, 0.04970000684261322, 0.05272191762924194, 0.022529510781168938, 0.016384543851017952, 0.005983393173664808, 0.0053374445997178555, 0.005067924037575722, 0.007279855199158192, 0.004440189339220524, 0.014497091062366962, 0.01617891900241375, 0.02739798277616501, 0.020851563662290573, 0.02417336218059063, 0.022655099630355835, 0.025535278022289276, 0.027581311762332916, 0.0243383776396513, 0.039793144911527634, 0.027982136234641075, 0.1277967095375061, 0.054981015622615814, 0.012134311720728874, 0.011605177074670792, 0.006801235489547253, 0.00805147085338831]",0.2090269178152084,0.0792603194713592,0.1918393075466156,0.1333705633878708,0.0641710385680198,0.0257458910346031,0.0685558691620826,0.058198194950819,0.1726942956447601,0.1174194514751434,0.2788572013378143,0.1602146327495575,0.0688186436891555,0.0990480333566665,0.0869510620832443,0.102233774960041,0.0667351335287094,0.0694255009293556,0.0304096657782793,0.0762515068054199,0.0575639382004737,0.18971648812294,0.1557228714227676,0.1119155958294868,0.0885862112045288,0.3381691575050354,0.1309687197208404,0.0557227283716201,0.0497000068426132,0.0527219176292419,0.0225295107811689,0.0163845438510179,0.0059833931736648,0.0053374445997178,0.0050679240375757,0.0072798551991581,0.0044401893392205,0.0144970910623669,0.0161789190024137,0.027397982776165,0.0208515636622905,0.0241733621805906,0.0226550996303558,0.0255352780222892,0.0275813117623329,0.0243383776396513,0.0397931449115276,0.027982136234641,0.1277967095375061,0.0549810156226158,0.0121343117207288,0.0116051770746707,0.0068012354895472,0.0080514708533883,0.7480668158401015,1.2085375925437,0.7637277774418697,0.534653313621478,0.7261400946737493,0.6794712479639035,0.2782966494588293,0.30731804005241287,0.15849170185872466,0.14306772266815948,0.19272724777661432,0.3496524083248995,0.9632886555040363,0.6322589167769949,0.7696977375974663,0.6565042445256493,0.9414216083542458,0.9621240406604346,1.3252705149569073,1.1118719541549935,1.0732872721442737,1.244484606353542,0.8973050865672441,0.3716428457793426,0.43566155269053825,0.07808040660607042,0.22485481308498245
7,"(10.324181275911162, 105.25390574874059)",1,"[0.13782471418380737, 0.10277285426855087, 0.17604456841945648, 0.09543051570653915, 0.056629277765750885, 0.018698029220104218, 0.019525226205587387, 0.056726183742284775, 0.1892087608575821, 0.14275813102722168, 0.14410920441150665, 0.161697119474411, 0.05981505662202835, 0.06822105497121811, 0.03356219828128815, 0.03963145986199379, 0.09581542015075684, 0.1132875606417656, 0.0730346217751503, 0.14610977470874786, 0.08008363097906113, 0.18659955263137817, 0.21935845911502838, 0.09525846689939499, 0.10384435206651688, 0.359832763671875, 0.13189135491847992]","[0.04249551147222519, 0.025263343006372452, 0.04647452384233475, 0.01980600506067276, 0.011762578040361404, 0.003935066517442465, 0.005805337335914373, 0.004976299125701189, 0.0068967025727033615, 0.00945479515939951, 0.03720615804195404, 0.03719615191221237, 0.018938567489385605, 0.029155708849430084, 0.01359021570533514, 0.022870361804962158, 0.030887341126799583, 0.028010910376906395, 0.029452482238411903, 0.046365488320589066, 0.05238380283117294, 0.06787291169166565, 0.07610087096691132, 0.008370473980903625, 0.012399774976074696, 0.011138939298689365, 0.010398125275969505]",0.1378247141838073,0.1027728542685508,0.1760445684194564,0.0954305157065391,0.0566292777657508,0.0186980292201042,0.0195252262055873,0.0567261837422847,0.1892087608575821,0.1427581310272216,0.1441092044115066,0.161697119474411,0.0598150566220283,0.0682210549712181,0.0335621982812881,0.0396314598619937,0.0958154201507568,0.1132875606417656,0.0730346217751503,0.1461097747087478,0.0800836309790611,0.1865995526313781,0.2193584591150283,0.0952584668993949,0.1038443520665168,0.359832763671875,0.1318913549184799,0.0424955114722251,0.0252633430063724,0.0464745238423347,0.0198060050606727,0.0117625780403614,0.0039350665174424,0.0058053373359143,0.0049762991257011,0.0068967025727033,0.0094547951593995,0.037206158041954,0.0371961519122123,0.0189385674893856,0.02915570884943,0.0135902157053351,0.0228703618049621,0.0308873411267995,0.0280109103769063,0.0294524822384119,0.046365488320589,0.0523838028311729,0.0678729116916656,0.0761008709669113,0.0083704739809036,0.0123997749760746,0.0111389392986893,0.0103981252759695,0.8241379993504185,0.7071163328659561,0.7430795951920178,0.6256267448771975,0.6260030337542303,0.6321120154188717,0.8048560469386545,0.3093173585219095,0.13817757588594243,0.24062194874889603,0.7317601825168023,0.6744954263175608,0.8383136808931433,1.002443272554724,0.9726478774911116,1.165504751788242,0.8479672912339719,0.7100225377285555,0.9703813792840545,0.8395220016213116,1.229886990286316,0.9135884019779078,0.8877286756151178,0.3097706354014174,0.4032818763318371,0.1182886309146733,0.28142586683525933
8,"(10.321001674103542, 105.24436694331814)",1,"[0.14882436394691467, 0.08229345083236694, 0.01920470967888832, 0.01402880996465683, 0.02125212363898754, 0.06519398838281631, 0.013763180002570152, 0.014721516519784927, 0.28447967767715454, 0.26087501645088196, 0.24838896095752716, 0.29207363724708557, 0.0915258601307869, 0.0986204594373703, 0.04142218083143234, 0.05730077251791954, 0.0974145233631134, 0.07097732275724411, 0.06527819484472275, 0.04766823723912239, 0.05756507068872452, 0.13970214128494263, 0.2431589514017105, 0.11981526017189026, 0.1507604569196701, 0.21799299120903015, 0.23875108361244202]","[0.045057572424411774, 0.03659163415431976, 0.008223891258239746, 0.004483734257519245, 0.005432465113699436, 0.006334027741104364, 0.004041435196995735, 0.0035876547917723656, 0.009037093259394169, 0.010880248621106148, 0.015497132204473019, 0.025401173159480095, 0.021375656127929688, 0.032615963369607925, 0.01200057752430439, 0.025013472884893417, 0.044488731771707535, 0.024943936616182327, 0.034415632486343384, 0.020709019154310226, 0.040790095925331116, 0.061130963265895844, 0.07291142642498016, 0.010759072378277779, 0.02117220312356949, 0.005501144099980593, 0.005668048746883869]",0.1488243639469146,0.0822934508323669,0.0192047096788883,0.0140288099646568,0.0212521236389875,0.0651939883828163,0.0137631800025701,0.0147215165197849,0.2844796776771545,0.2608750164508819,0.2483889609575271,0.2920736372470855,0.0915258601307869,0.0986204594373703,0.0414221808314323,0.0573007725179195,0.0974145233631134,0.0709773227572441,0.0652781948447227,0.0476682372391223,0.0575650706887245,0.1397021412849426,0.2431589514017105,0.1198152601718902,0.1507604569196701,0.2179929912090301,0.238751083612442,0.0450575724244117,0.0365916341543197,0.0082238912582397,0.0044837342575192,0.0054324651136994,0.0063340277411043,0.0040414351969957,0.0035876547917723,0.0090370932593941,0.0108802486211061,0.015497132204473,0.02540117315948,0.0213756561279296,0.0326159633696079,0.0120005775243043,0.0250134728848934,0.0444887317717075,0.0249439366161823,0.0344156324863433,0.0207090191543102,0.0407900959253311,0.0611309632658958,0.0729114264249801,0.0107590723782777,0.0211722031235694,0.0055011440999805,0.0056680487468838,0.8144394004563237,1.0243146276661022,1.0035424310428205,0.8433563298518545,0.7267203691511902,0.33816562444719284,0.7982815974755612,0.7028196290464893,0.12124532375726528,0.15690909045434998,0.22790440505737516,0.30697007277889304,0.6818701726977077,0.8617715186866717,0.7912052426259109,1.0141488945815482,1.0390425554038711,0.8947722041867159,1.1173710395182606,1.0115015690096731,1.2691076777852404,1.0154763404526066,0.8093288532852496,0.3157215063141319,0.4612455531512306,0.09723779026008134,0.09167764454196999
9,"(10.321001674103542, 105.2416415703403)",1,"[0.14251786470413208, 0.10009083151817322, 0.026379654183983803, 0.04857783019542694, 0.020586056634783745, 0.051693666726350784, 0.013192383572459221, 0.01040084008127451, 0.3314673602581024, 0.27810677886009216, 0.15217453241348267, 0.1228383481502533, 0.05233145132660866, 0.05637706443667412, 0.042134929448366165, 0.03685527294874191, 0.11444927006959915, 0.08211880177259445, 0.06641172617673874, 0.10261013358831406, 0.058554284274578094, 0.171280637383461, 0.12991145253181458, 0.03839292377233505, 0.09522642195224762, 0.12853796780109406, 0.08483361452817917]","[0.027488982304930687, 0.0220155231654644, 0.004909712355583906, 0.0039595430716872215, 0.006885957904160023, 0.004880910739302635, 0.004261269699782133, 0.004547531250864267, 0.02211618795990944, 0.012689181603491306, 0.028587790206074715, 0.02706260420382023, 0.01852206513285637, 0.023751696571707726, 0.014918426983058453, 0.020147543400526047, 0.04168032109737396, 0.025995327159762383, 0.03269821032881737, 0.034531835466623306, 0.03620844706892967, 0.06221411004662514, 0.061223484575748444, 0.008417114615440369, 0.014820602722465992, 0.005652410443872213, 0.007315757684409618]",0.142517864704132,0.1000908315181732,0.0263796541839838,0.0485778301954269,0.0205860566347837,0.0516936667263507,0.0131923835724592,0.0104008400812745,0.3314673602581024,0.2781067788600921,0.1521745324134826,0.1228383481502533,0.0523314513266086,0.0563770644366741,0.0421349294483661,0.0368552729487419,0.1144492700695991,0.0821188017725944,0.0664117261767387,0.102610133588314,0.058554284274578,0.171280637383461,0.1299114525318145,0.038392923772335,0.0952264219522476,0.128537967801094,0.0848336145281791,0.0274889823049306,0.0220155231654644,0.0049097123555839,0.0039595430716872,0.00688595790416,0.0048809107393026,0.0042612696997821,0.0045475312508642,0.0221161879599094,0.0126891816034913,0.0285877902060747,0.0270626042038202,0.0185220651328563,0.0237516965717077,0.0149184269830584,0.020147543400526,0.0416803210973739,0.0259953271597623,0.0326982103288173,0.0345318354666233,0.0362084470689296,0.0622141100466251,0.0612234845757484,0.0084171146154403,0.0148206027224659,0.0056524104438722,0.0073157576844096,0.5921799338349796,0.6529482330198483,0.5763090413378273,0.28988222495365656,0.8679109643724865,0.3298735904574334,0.8490458275194188,1.0150304633613314,0.24224374612511204,0.17069344270395748,0.5804297928470133,0.6537172921353159,0.8986460595893966,0.9945422001849071,0.898839938816865,1.1368088268460568,0.9142600167387176,0.8382101209007655,1.080265637812698,0.8712026941490484,1.201414512844363,0.9128246232190467,1.0563105996720763,0.6513888640061272,0.501114688400976,0.16490253447914985,0.30469457231392455
